County Name,Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",Population Education and Child Care Personnel
Rains,"2,000","5,647","3,206","2,658","10,798","10,277","3,123",163,68,"3,649",0
Randall,"16,170","82,299","46,178","38,754","116,059","108,431","21,424","2,812",869,"34,803",519
Reagan,"1,400","1,784","1,054",939,"3,078","2,841",427,52,42,"1,173",0
Real,"2,000","2,422","1,299","1,175","3,070","2,943","1,053",25,86,"1,051",0
Red River,"3,500","5,898","3,378","3,019","10,450","9,965","3,044",420,252,"3,717",477
Reeves,"31,075","9,500","5,127","4,475","13,495","12,781","1,878",281,89,"5,277",0
Refugio,"2,900","5,054","2,759","2,411","5,921","5,583","1,617",228,154,"2,031",313
Roberts,0,341,187,169,730,672,193,16,0,227,0
Robertson,"4,200","9,318","5,556","4,605","14,349","13,474","3,412",252,252,"4,991",690
Rockwall,"59,095","78,055","45,194","35,903","86,906","80,325","13,395","3,750","1,347","27,575","3,321"
Runnels,"7,600","5,932","3,302","2,962","8,726","8,184","2,153",405,312,"2,979",430
Rusk,"11,670","23,075","13,831","10,924","46,536","43,777","9,197","1,501",759,"17,428","1,859"
Sabine,"3,900","5,528","3,068","2,736","9,359","8,871","3,267",572,186,"3,077",0
San Augustine,"3,700","4,805","2,686","2,269","7,135","6,811","2,227",415,337,"2,590",0
San Jacinto,"4,500","11,759","6,927","5,756","24,882","23,444","6,488",132,190,"9,275",40
San Patricio,"20,170","44,174","25,498","20,691","54,942","51,116","10,209",975,347,"19,063","2,379"
San Saba,"2,100","2,664","1,607","1,153","5,279","5,000","1,465",33,72,"1,828",197
Schleicher,"1,800","1,674",905,823,"2,399","2,218",559,65,34,793,0
Scurry,"7,395","8,688","5,184","4,025","14,012","13,000","2,566",399,128,"5,165",0
Shackelford,"1,700","1,738",954,823,"2,804","2,612",691,52,0,937,119
Shelby,"10,050","9,531","5,633","4,635","20,862","19,449","4,532",540,369,"7,876",948
Sherman,"1,800","1,471",875,669,"2,478","2,294",462,24,42,868,0
Smith,"209,370","137,590","75,911","64,663","194,878","182,283","39,337","19,690","3,030","62,467","7,172"
Somervell,"5,100","5,229","2,964","2,606","7,823","7,386","1,770",457,220,"2,741",479
Starr,"43,780","62,624","37,088","31,168","49,864","45,765","7,370","4,479","1,999","21,117","3,311"
Stephens,"3,400","4,076","2,460","2,042","8,039","7,542","1,890",168,92,"2,928",22
Sterling,700,640,363,282,"1,042",975,186,10,44,375,0
Stonewall,"1,700",805,451,411,"1,164","1,095",361,63,53,369,0
Sutton,"2,400","2,427","1,309","1,149","3,139","2,992",723,91,0,"1,051",0
Swisher,"2,600","3,331","2,010","1,679","6,211","5,764","1,305",114,61,"2,381",323
